Date,price
2010-07-13,7597.419921875
2010-07-14,7714.509765625
2010-07-15,7704.52001953125
2010-07-16,7664.56982421875
2010-07-19,7649.830078125
2010-07-20,7712.02978515625
2010-07-21,7701.2900390625
2010-07-22,7666.33984375
2010-07-23,7761.22021484375
2010-07-26,7787.4501953125
2010-07-27,7748.009765625
2010-07-28,7784.81005859375
2010-07-29,7798.990234375
2010-07-30,7760.6298828125
2010-08-02,7911.68017578125
2010-08-03,7957.52978515625
2010-08-04,7972.66015625
2010-08-05,7936.85009765625
2010-08-06,7963.2998046875
2010-08-09,8034.490234375
2010-08-10,7976.740234375
2010-08-11,7895.02978515625
2010-08-12,7829.7900390625
2010-08-13,7891.580078125
2010-08-16,7941.22021484375
2010-08-17,7931.08984375
2010-08-18,7924.10009765625
2010-08-19,7928.93994140625
2010-08-20,7927.31005859375
2010-08-23,7975.93017578125
2010-08-24,7940.64013671875
2010-08-25,7736.97998046875
2010-08-26,7689.740234375
2010-08-27,7722.91015625
2010-08-30,7741.2001953125
2010-08-31,7616.27978515625
2010-09-01,7668.25
2010-09-02,7720.81982421875
2010-09-03,7830.2099609375
2010-09-06,7890.9501953125
2010-09-07,7884.39990234375
2010-09-08,7851.31005859375
2010-09-09,7835.5400390625
2010-09-10,7890.10986328125
2010-09-13,8091.2998046875
2010-09-14,8132.60009765625
2010-09-15,8163.81982421875
2010-09-16,8099.75
2010-09-17,8158.330078125
2010-09-20,8186.9599609375
2010-09-21,8196.400390625
2010-09-23,8202.5400390625
2010-09-24,8166.6201171875
2010-09-27,8191.5400390625
2010-09-28,8189.43994140625
2010-09-29,8240.8896484375
2010-09-30,8237.7802734375
2010-10-01,8244.1796875
2010-10-04,8246.099609375
2010-10-05,8200.4296875
2010-10-06,8284.0302734375
2010-10-07,8283.919921875
2010-10-08,8244.1904296875
2010-10-11,8176.759765625
2010-10-12,8090.22021484375
2010-10-13,8106.66015625
2010-10-14,8215.4501953125
2010-10-15,8205.2998046875
2010-10-18,8060.5400390625
2010-10-19,8046.22998046875
2010-10-20,8124.6201171875
2010-10-21,8131.22998046875
2010-10-22,8168.06005859375
2010-10-25,8306.98046875
2010-10-26,8343.23046875
2010-10-27,8291.0400390625
2010-10-28,8354.0498046875
2010-10-29,8287.08984375
2010-11-01,8379.75
2010-11-02,8344.759765625
2010-11-03,8293.900390625
2010-11-04,8357.849609375
2010-11-05,8449.33984375
2010-11-08,8430.580078125
2010-11-09,8445.6298828125
2010-11-10,8450.6298828125
2010-11-11,8436.9501953125
2010-11-12,8316.0498046875
2010-11-15,8240.650390625
2010-11-16,8312.2099609375
2010-11-17,8255.5400390625
2010-11-18,8283.4501953125
2010-11-19,8306.1201171875
2010-11-22,8374.91015625
2010-11-23,8328.6298828125
2010-11-24,8297.0498046875
2010-11-25,8349.990234375
2010-11-26,8312.150390625
2010-11-29,8367.169921875
2010-11-30,8372.48046875
2010-12-01,8520.1103515625
2010-12-02,8585.76953125
2010-12-03,8624.009765625
2010-12-06,8702.23046875
2010-12-07,8704.3896484375
2010-12-08,8703.7900390625
2010-12-09,8753.83984375
2010-12-10,8718.830078125
2010-12-13,8736.58984375
2010-12-14,8740.4296875
2010-12-15,8756.7099609375
2010-12-16,8782.2001953125
2010-12-17,8817.900390625
2010-12-20,8768.7197265625
2010-12-21,8827.7900390625
2010-12-22,8860.490234375
2010-12-23,8898.8701171875
2010-12-24,8861.099609375
2010-12-27,8892.3095703125
2010-12-28,8870.759765625
2010-12-29,8866.349609375
2010-12-30,8907.91015625
2010-12-31,8972.5
2011-01-03,9025.2998046875
2011-01-04,8997.1904296875
2011-01-05,8846.3095703125
2011-01-06,8883.2099609375
2011-01-07,8782.7197265625
2011-01-10,8817.8798828125
2011-01-11,8931.3603515625
2011-01-12,8965.0
2011-01-13,8975.580078125
2011-01-14,8972.509765625
2011-01-17,8925.08984375
2011-01-18,8988.0
2011-01-19,9086.01953125
2011-01-20,9022.169921875
2011-01-21,8954.3798828125
2011-01-24,8947.7900390625
2011-01-25,8991.3896484375
2011-01-26,9055.58984375
2011-01-27,9102.330078125
2011-01-28,9145.349609375
2011-02-08,9111.4599609375
2011-02-09,9006.8203125
2011-02-10,8836.5595703125
2011-02-11,8609.8603515625
2011-02-14,8685.4697265625
2011-02-15,8721.9296875
2011-02-16,8712.9599609375
2011-02-17,8683.8798828125
2011-02-18,8843.83984375
2011-02-21,8839.2197265625
2011-02-22,8673.669921875
2011-02-23,8528.9404296875
2011-02-24,8541.6396484375
2011-02-25,8599.650390625
2011-03-01,8727.5595703125
2011-03-02,8619.900390625
2011-03-03,8738.3701171875
2011-03-04,8784.400390625
2011-03-07,8713.7900390625
2011-03-08,8747.75
2011-03-09,8750.01953125
2011-03-10,8642.900390625
2011-03-11,8567.8203125
2011-03-14,8520.01953125
2011-03-15,8234.7802734375
2011-03-16,8324.580078125
2011-03-17,8282.6904296875
2011-03-18,8394.75
2011-03-21,8467.7099609375
2011-03-22,8508.0400390625
2011-03-23,8545.080078125
2011-03-24,8576.400390625
2011-03-25,8610.3896484375
2011-03-28,8553.0595703125
2011-03-29,8596.5703125
2011-03-30,8646.3095703125
2011-03-31,8683.2998046875
2011-04-01,8705.1298828125
2011-04-06,8851.98046875
2011-04-07,8901.7197265625
2011-04-08,8894.5400390625
2011-04-11,8880.26953125
2011-04-12,8732.58984375
2011-04-13,8780.2001953125
2011-04-14,8802.73046875
2011-04-15,8718.1201171875
2011-04-18,8714.48046875
2011-04-19,8638.5498046875
2011-04-20,8813.2802734375
2011-04-21,8957.650390625
2011-04-22,8969.4296875
2011-04-25,8950.75
2011-04-26,8948.1396484375
2011-04-27,9049.25
2011-04-28,9040.76953125
2011-04-29,9007.8701171875
2011-05-03,8946.080078125
2011-05-04,8947.349609375
2011-05-05,9018.6103515625
2011-05-06,8977.23046875
2011-05-09,9035.48046875
2011-05-10,9023.2802734375
2011-05-11,9020.400390625
2011-05-12,9033.6796875
2011-05-13,9006.6103515625
2011-05-16,8911.7099609375
2011-05-17,8884.08984375
2011-05-18,8944.83984375
2011-05-19,8892.8798828125
2011-05-20,8837.0302734375
2011-05-23,8747.509765625
2011-05-24,8756.6103515625
2011-05-25,8727.08984375
2011-05-26,8788.400390625
2011-05-27,8810.0
2011-05-30,8823.6796875
2011-05-31,8988.83984375
2011-06-01,9062.349609375
2011-06-02,8991.3603515625
2011-06-03,9046.2802734375
2011-06-07,9057.099609375
2011-06-08,9007.5302734375
2011-06-09,9000.9404296875
2011-06-10,8837.8203125
2011-06-13,8712.9501953125
2011-06-14,8829.2099609375
2011-06-15,8831.4501953125
2011-06-16,8654.4296875
2011-06-17,8636.099609375
2011-06-20,8530.6796875
2011-06-21,8597.6201171875
2011-06-22,8621.0400390625
2011-06-23,8567.2802734375
2011-06-24,8532.830078125
2011-06-27,8500.16015625
2011-06-28,8478.8603515625
2011-06-29,8573.3798828125
2011-06-30,8652.58984375
2011-07-01,8739.8203125
2011-07-04,8774.7197265625
2011-07-05,8784.4404296875
2011-07-06,8824.4404296875
2011-07-07,8773.419921875
2011-07-08,8749.5498046875
2011-07-11,8665.849609375
2011-07-12,8491.009765625
2011-07-13,8488.0595703125
2011-07-14,8481.349609375
2011-07-15,8574.91015625
2011-07-18,8538.5703125
2011-07-19,8524.5703125
2011-07-20,8706.169921875
2011-07-21,8717.1396484375
2011-07-22,8765.3203125
2011-07-25,8683.509765625
2011-07-26,8794.240234375
2011-07-27,8817.490234375
2011-07-28,8767.2001953125
2011-07-29,8644.1796875
2011-08-01,8701.3798828125
2011-08-02,8584.7197265625
2011-08-03,8456.8603515625
2011-08-04,8317.26953125
2011-08-05,7853.1298828125
2011-08-08,7552.7998046875
2011-08-09,7493.1201171875
2011-08-10,7736.31982421875
2011-08-11,7719.08984375
2011-08-12,7637.02001953125
2011-08-15,7819.39013671875
2011-08-16,7798.58984375
2011-08-17,7741.759765625
2011-08-18,7614.97021484375
2011-08-19,7342.9599609375
2011-08-22,7312.58984375
2011-08-23,7550.22998046875
2011-08-24,7502.93017578125
2011-08-25,7410.8701171875
2011-08-26,7445.10009765625
2011-08-29,7578.009765625
2011-08-30,7646.18994140625
2011-08-31,7741.35986328125
2011-09-01,7757.759765625
2011-09-02,7757.06005859375
2011-09-05,7551.56982421875
2011-09-06,7367.18994140625
2011-09-07,7529.009765625
2011-09-08,7548.3701171875
2011-09-09,7610.56982421875
2011-09-13,7391.3701171875
2011-09-14,7228.47021484375
2011-09-15,7385.68017578125
2011-09-16,7577.39990234375
2011-09-19,7480.8798828125
2011-09-20,7492.85009765625
2011-09-21,7535.8798828125
2011-09-22,7305.5
2011-09-23,7046.22021484375
2011-09-26,6877.1201171875
2011-09-27,7089.9501953125
2011-09-28,7146.97998046875
2011-09-29,7182.60986328125
2011-09-30,7225.3798828125
2011-10-03,7013.97021484375
2011-10-04,7047.8701171875
2011-10-05,6989.14990234375
2011-10-06,7132.0
2011-10-07,7211.9599609375
2011-10-11,7398.7099609375
2011-10-12,7382.35009765625
2011-10-13,7428.330078125
2011-10-14,7358.080078125
2011-10-17,7461.1201171875
2011-10-18,7359.47998046875
2011-10-19,7353.3701171875
2011-10-20,7244.31982421875
2011-10-21,7254.509765625
2011-10-24,7470.2998046875
2011-10-25,7491.2099609375
2011-10-26,7535.81982421875
2011-10-27,7565.2099609375
2011-10-28,7616.06005859375
2011-10-31,7587.68994140625
2011-11-01,7622.009765625
2011-11-02,7598.4501953125
2011-11-03,7460.31005859375
2011-11-04,7603.22998046875
2011-11-07,7621.72021484375
2011-11-08,7600.7900390625
2011-11-09,7561.85986328125
2011-11-10,7308.68017578125
2011-11-11,7367.2900390625
2011-11-14,7525.64990234375
2011-11-15,7491.06005859375
2011-11-16,7387.52001953125
2011-11-17,7387.81005859375
2011-11-18,7233.77978515625
2011-11-21,7042.64013671875
2011-11-22,7000.02978515625
2011-11-23,6806.43017578125
2011-11-24,6864.39013671875
2011-11-25,6784.52001953125
2011-11-28,6898.77978515625
2011-11-29,6988.64990234375
2011-11-30,6904.1201171875
2011-12-01,7178.68994140625
2011-12-02,7140.68017578125
2011-12-05,7098.080078125
2011-12-06,6956.27978515625
2011-12-07,7033.0
2011-12-08,6982.89990234375
2011-12-09,6893.2998046875
2011-12-12,6949.0400390625
2011-12-13,6896.31005859375
2011-12-14,6922.56982421875
2011-12-15,6764.58984375
2011-12-16,6785.08984375
2011-12-19,6633.330078125
2011-12-20,6662.64013671875
2011-12-21,6966.47998046875
2011-12-22,6966.35009765625
2011-12-23,7110.72998046875
2011-12-26,7092.580078125
2011-12-27,7085.02978515625
2011-12-28,7056.669921875
2011-12-29,7074.81982421875
2011-12-30,7072.080078125
2012-01-02,6952.2099609375
2012-01-03,7053.3798828125
2012-01-04,7082.97021484375
2012-01-05,7130.85986328125
2012-01-06,7120.509765625
2012-01-09,7093.0400390625
2012-01-10,7178.8701171875
2012-01-11,7188.2099609375
2012-01-12,7186.580078125
2012-01-13,7181.5400390625
2012-01-16,7103.6201171875
2012-01-17,7221.080078125
2012-01-18,7233.68994140625
2012-01-30,7407.41015625
2012-01-31,7517.080078125
2012-02-01,7549.2099609375
2012-02-02,7652.4599609375
2012-02-03,7674.990234375
2012-02-06,7687.97998046875
2012-02-07,7707.43994140625
2012-02-08,7869.91015625
2012-02-09,7910.77978515625
2012-02-10,7862.27001953125
2012-02-13,7912.91015625
2012-02-14,7884.080078125
2012-02-15,8005.240234375
2012-02-16,7869.7001953125
2012-02-17,7894.35986328125
2012-02-20,7954.81982421875
2012-02-21,7921.5
2012-02-22,8001.68017578125
2012-02-23,7937.2998046875
2012-02-24,7959.33984375
2012-02-29,8121.43994140625
2012-03-01,8118.33984375
2012-03-02,8144.0400390625
2012-03-05,8004.740234375
2012-03-06,7937.97021484375
2012-03-07,7903.080078125
2012-03-08,7984.56005859375
2012-03-09,8016.009765625
2012-03-12,7927.5498046875
2012-03-13,8031.509765625
2012-03-14,8125.259765625
2012-03-15,8121.6201171875
2012-03-16,8054.93994140625
2012-03-19,8043.919921875
2012-03-20,7972.7001953125
2012-03-21,7981.93994140625
2012-03-22,8059.93994140625
2012-03-23,8076.60986328125
2012-03-26,7967.6201171875
2012-03-27,8029.4599609375
2012-03-28,8038.06982421875
2012-03-29,7872.66015625
2012-03-30,7933.0
2012-04-02,7862.89990234375
2012-04-03,7760.85009765625
2012-04-05,7639.81982421875
2012-04-06,7706.259765625
2012-04-09,7600.8701171875
2012-04-10,7640.68017578125
2012-04-11,7656.669921875
2012-04-12,7662.919921875
2012-04-13,7788.27001953125
2012-04-16,7729.85986328125
2012-04-17,7585.8701171875
2012-04-18,7605.0
2012-04-19,7622.68994140625
2012-04-20,7507.14990234375
2012-04-23,7481.08984375
2012-04-24,7498.83984375
2012-04-25,7563.18017578125
2012-04-26,7521.35009765625
2012-04-27,7480.5
2012-04-30,7501.72021484375
2012-05-02,7676.81005859375
2012-05-03,7659.52978515625
2012-05-04,7700.9501953125
2012-05-07,7538.080078125
2012-05-08,7545.7099609375
2012-05-09,7475.7099609375
2012-05-10,7484.009765625
2012-05-11,7401.3701171875
2012-05-14,7377.18017578125
2012-05-15,7395.64013671875
2012-05-16,7234.56982421875
2012-05-17,7356.77001953125
2012-05-18,7151.18994140625
2012-05-21,7192.22998046875
2012-05-22,7274.89013671875
2012-05-23,7147.75
2012-05-24,7124.89013671875
2012-05-25,7071.6298828125
2012-05-28,7136.0
2012-05-29,7342.2900390625
2012-05-30,7261.7998046875
2012-05-31,7301.5
2012-06-01,7106.08984375
2012-06-04,6894.66015625
2012-06-05,7000.4501953125
2012-06-06,7056.14990234375
2012-06-07,7080.31005859375
2012-06-08,6999.64990234375
2012-06-11,7120.22998046875
2012-06-12,7072.080078125
2012-06-13,7088.830078125
2012-06-14,7075.10009765625
2012-06-15,7155.830078125
2012-06-18,7281.5
2012-06-19,7273.1298828125
